Event_ID,Timestamp,Headline_Short,Description_Long,Affected_Regions,Affected_Sectors,Affected_Assets,News_Corpus_Links,Event_Impact_Score,Event_Uncertainty_Score
1,2018-03-01T10:00:00Z,"Trump Announces Steel Tariffs","President Trump announces tariffs of 25% on steel and 10% on aluminum imports, citing national security. Major trading partners express concern and threaten retaliation.","USA;Global","Materials;Industrials","X;AA;NUE;AKS;USSTEEL","doc_id_gpe_1_1;doc_id_gpe_1_2;doc_id_gpe_1_3",4,3
2,2018-07-06T04:01:00Z,"US-China Trade War Begins: Tariffs Imposed","US imposes 25% tariffs on $34 billion of Chinese goods. China immediately retaliates with tariffs on $34 billion of US goods. Affects agriculture, autos, tech.","USA;CHN;Global","Technology;Industrials;Agriculture","AAPL;QCOM;CAT;DE;SOYB","doc_id_gpe_2_1;doc_id_gpe_2_2",4,4
3,2018-11-06T23:00:00Z,"US Midterm Elections","Democrats gain control of the House of Representatives, Republicans retain Senate. Potential for increased political gridlock and policy uncertainty.","USA","All","SPY;QQQ","doc_id_gpe_3_1",3,3
4,2019-05-10T16:00:00Z,"US Raises Tariffs on $200B of Chinese Goods","US increases tariffs on $200 billion of Chinese goods from 10% to 25% as trade talks stall. Heightens trade tensions.","USA;CHN","All","SPY;AAPL;BABA","doc_id_gpe_4_1;doc_id_gpe_4_2",4,4
5,2019-08-05T14:00:00Z,"China Labels US Currency Manipulator","China's central bank allows yuan to weaken past 7 per dollar; US Treasury Department labels China a currency manipulator. Escalates trade war.","USA;CHN","Financials;FX","CNYUSD=X;CYB;FXI","doc_id_gpe_5_1",4,5
6,2019-09-14T08:00:00Z,"Drone Attack on Saudi Aramco Facilities","Major drone attack on Saudi Aramco's Abqaiq and Khurais oil processing facilities disrupts nearly half of Saudi Arabia's oil production (5% of global supply).","SAU;Global","Energy","XOM;CVX;CL=F;USO","doc_id_gpe_6_1;doc_id_gpe_6_2",5,4
7,2020-01-03T05:00:00Z,"US Kills Iranian General Soleimani","US airstrike in Baghdad kills top Iranian commander Qassem Soleimani. Heightens geopolitical tensions in the Middle East; oil prices spike.","IRN;IRQ;USA;MEA","Energy;Defense","CL=F;XOM;LMT;RTX","doc_id_gpe_7_1",4,5
8,2020-01-15T16:30:00Z,"US-China Phase One Trade Deal Signed","US and China sign 'Phase One' trade agreement. China commits to purchase more US goods, US rolls back some tariffs. Some structural issues remain unaddressed.","USA;CHN","All","SPY;AAPL;BABA","doc_id_gpe_8_1;doc_id_gpe_8_2",3,3
9,2020-03-11T20:00:00Z,"WHO Declares COVID-19 a Global Pandemic","The World Health Organization officially declares the novel coronavirus (COVID-19) outbreak a global pandemic. Triggers market panic and widespread lockdowns.","Global","All","SPY;QQQ;VIXY;JNJ;PFE;MRNA","doc_id_gpe_9_1;doc_id_gpe_9_2",5,5
10,2020-11-03T08:00:00Z,"US Presidential Election 2020","Joe Biden wins the US Presidential Election against incumbent Donald Trump. Results contested, leading to period of uncertainty.","USA","All","SPY;QQQ;IWM","doc_id_gpe_10_1;doc_id_gpe_10_2",4,4
