Annotation_ID,Doc_ID,Sentiment_Score,Uncertainty_Score,Litigiousness_Score,Named_Entities
1,1,0.60,0.15,0.05,"[\"MSFT\", \"Azure\", \"Earnings\"]"
2,2,0.20,0.25,0.08,"[\"MSFT\", \"Earnings Call\", \"Cloud Growth\"]"
3,3,0.10,0.05,0.10,"[\"MSFT\", \"8-K\", \"Q2 Results\"]"
4,4,0.75,0.10,0.02,"[\"AAPL\", \"iPhone X\", \"Record Revenue\"]"
5,5,0.25,0.20,0.07,"[\"AAPL\", \"Earnings Call\", \"iPhone Sales\"]"
6,6,0.12,0.04,0.12,"[\"AAPL\", \"8-K\", \"Q1 Results\"]"
7,7,0.68,0.12,0.03,"[\"NVDA\", \"Datacenter\", \"Crypto\", \"Growth\"]"
8,8,0.15,0.22,0.06,"[\"NVDA\", \"Earnings Call\", \"Gaming\", \"Datacenter\"]"
9,9,0.09,0.06,0.09,"[\"NVDA\", \"8-K\", \"Q4 FY18 Results\"]"
10,10,0.00,0.35,0.10,"[\"FOMC\", \"Interest Rates\", \"Policy Statement\"]"
11,11,0.10,0.40,0.12,"[\"FOMC\", \"Economic Projections\", \"Rate Path\"]"
12,12,-0.05,0.30,0.08,"[\"FOMC Minutes\", \"Economic Outlook\", \"Policy Discussion\"]"
13,13,0.00,0.38,0.11,"[\"ECB\", \"Monetary Policy\", \"Press Conference\", \"Draghi\"]"
14,14,0.80,0.25,0.20,"[\"MSFT\", \"Activision Blizzard\", \"Acquisition\", \"Gaming Industry\"]"
15,15,0.70,0.30,0.15,"[\"ATVI\", \"MSFT\", \"Stock Price\", \"Acquisition\"]"
16,16,-0.90,0.60,0.05,"[\"WHO\", \"COVID-19\", \"Pandemic\", \"Global Health Emergency\"]"
17,17,-0.50,0.45,0.10,"[\"Fed\", \"Powell\", \"Emergency Rate Cut\", \"Coronavirus Crisis\"]"
18,18,0.65,0.20,0.25,"[\"JPM\", \"First Republic Bank\", \"Acquisition\", \"Banking Crisis\"]"
19,19,-0.70,0.50,0.40,"[\"FRC\", \"Regulators\", \"JPM\", \"Bank Failure\"]"
20,20,-0.95,0.70,0.50,"[\"SIVB\", \"Collapse\", \"Bank Failure\", \"Financial Crisis\"]"
1,1,-0.70,0.40,0.10,"[\"AAPL\", \"Revenue Guidance\", \"China\"]"
2,2,0.65,0.15,0.05,"[\"MSFT\", \"Earnings\", \"Cloud\"]"
3,3,-0.50,0.30,0.15,"[\"TSLA\", \"Job Cuts\", \"Costs\"]"
4,4,-0.40,0.50,0.20,"[\"JPM\", \"CEO\", \"Economic Headwinds\"]"
5,5,-0.30,0.35,0.10,"[\"AAPL\", \"Earnings Call\", \"Guidance Cut\"]"
6,6,0.20,0.25,0.05,"[\"FOMC\", \"Interest Rates\", \"Patience\"]"
7,7,0.75,0.10,0.02,"[\"GOOG\", \"Alphabet\", \"Q4 Earnings\"]"
8,8,0.10,0.05,0.25,"[\"AMZN\", \"10-K\", \"Annual Report\"]"
9,9,-0.20,0.30,0.08,"[\"NVDA\", \"Earnings Call\", \"Gaming Slowdown\"]"
10,10,0.30,0.40,0.10,"[\"ECB\", \"Stimulus Measures\"]"
11,11,-0.60,0.50,0.05,"[\"Markets\", \"Volatility\", \"2019\"]"
12,12,0.50,0.10,0.03,"[\"V\", \"Growth\", \"Cross-Border Volume\"]"
13,13,-0.45,0.20,0.07,"[\"XOM\", \"Profit Miss\", \"Oil Prices\"]"
14,14,-0.65,0.25,0.70,"[\"JNJ\", \"8-K\", \"Talc Litigation\"]"
15,15,0.80,0.10,0.02,"[\"MSFT\", \"Cloud Revenue\", \"Pandemic\"]"
16,16,0.05,0.10,0.15,"[\"TSLA\", \"10-Q\", \"Q1 2020\"]"
17,17,-0.10,0.30,0.08,"[\"FOMC Minutes\", \"Emergency Rate Cuts\"]"
18,18,0.85,0.12,0.04,"[\"AMZN\", \"Profits Surge\", \"Online Shopping\"]"
19,19,0.95,0.20,0.01,"[\"PFE\", \"COVID-19 Vaccine\", \"Effective\"]"
20,20,-0.55,0.45,0.20,"[\"LLY\", \"8-K\", \"COVID-19 Antibody Trial\", \"Paused\"]"
21,21,0.90,0.08,0.03,"[\"AAPL\", \"Record Revenue\", \"iPhone 12\"]"
22,22,0.70,0.15,0.04,"[\"NVDA\", \"Estimates Beat\", \"Gaming\", \"Data Center\"]"
23,23,-0.35,0.28,0.06,"[\"DIS\", \"Disney+\", \"Subscriber Growth Slows\"]"
24,24,0.12,0.06,0.22,"[\"COST\", \"10-K\", \"Annual Report 2021\"]"
25,25,0.15,0.33,0.07,"[\"ECB\", \"Pandemic Asset Purchases\", \"Slows Pace\"]"
26,26,-0.70,0.20,0.03,"[\"USA\", \"Inflation\", \"40-Year High\", \"CPI\"]"
27,27,0.60,0.30,0.40,"[\"MSFT\", \"8-K\", \"Acquisition\", \"Activision Blizzard\"]"
28,28,0.75,0.10,0.02,"[\"GOOG\", \"Alphabet\", \"Stock Split\", \"Strong Earnings\"]"
29,29,0.80,0.05,0.01,"[\"XOM\", \"Highest Profit\", \"Oil Prices\"]"
30,30,0.65,0.18,0.04,"[\"TSLA\", \"Profit Beat\", \"Supply Chain\"]"
31,31,-0.25,0.40,0.10,"[\"FOMC\", \"Rate Hikes\", \"50 Basis Points\"]"
32,32,0.50,0.35,0.30,"[\"ADBE\", \"Acquire\", \"Figma\"]"
33,33,-0.40,0.25,0.08,"[\"CRM\", \"Earnings Call\", \"Co-CEO Steps Down\"]"
34,34,0.55,0.10,0.03,"[\"BAC\", \"Profit Rises\", \"Interest Rates\"]"
35,35,0.00,0.12,0.18,"[\"PFE\", \"10-Q\", \"Q1 2023\"]"
36,36,0.40,0.15,0.02,"[\"USA\", \"Jobs Report\", \"Strong Growth\"]"
37,37,0.90,0.22,0.05,"[\"NVDA\", \"Shares Surge\", \"AI Chip Demand\", \"Blowout Forecast\"]"
